,values,,,,,,,,,,,,,,,avg,,,,,SD,,,,
Time,50 킠,50 킠,50 킠,25 킠,25 킠,25 킠,12.5 킠,12.5 킠,12.5 킠,Pd,Pd,Pd,LB,LB,LB,50 킠,25 킠,12.5 킠,Pd,LB,50 킠,25 킠,12.5 킠,Pd,LB
35,0.576,0.585,0.6,0.669,0.673,0.651,0.654,0.647,0.634,0.629,0.669,0.691,0.096,0.096,0.096,0.587,0.664333333,0.645,0.663,0.096,0.012124356,0.011718931,0.010148892,0.031432467,1.69967E-17
36,0.598,0.609,0.617,0.678,0.663,0.677,0.671,0.661,0.654,0.65,0.686,0.696,0.096,0.095,0.096,0.608,0.672666667,0.662,0.677333333,0.095666667,0.009539392,0.008386497,0.008544004,0.024193663,0.00057735
37,0.609,0.625,0.635,0.693,0.673,0.684,0.674,0.67,0.662,0.659,0.705,0.714,0.096,0.095,0.096,0.623,0.683333333,0.668666667,0.692666667,0.095666667,0.013114877,0.010016653,0.006110101,0.029501412,0.00057735
38,0.629,0.645,0.652,0.702,0.693,0.696,0.678,0.674,0.673,0.655,0.712,0.728,0.096,0.096,0.096,0.642,0.697,0.675,0.698333333,0.096,0.011789826,0.004582576,0.002645751,0.038370996,1.69967E-17
39,0.652,0.662,0.667,0.713,0.692,0.696,0.688,0.688,0.673,0.651,0.721,0.737,0.096,0.096,0.096,0.660333333,0.700333333,0.683,0.703,0.096,0.007637626,0.011150486,0.008660254,0.045738387,1.69967E-17
40,0.658,0.679,0.684,0.708,0.699,0.689,0.689,0.71,0.696,0.662,0.732,0.758,0.096,0.096,0.096,0.673666667,0.698666667,0.698333333,0.717333333,0.096,0.013796135,0.009504385,0.010692677,0.049652123,1.69967E-17
41,0.675,0.696,0.701,0.73,0.7,0.698,0.699,0.702,0.707,0.678,0.755,0.77,0.096,0.095,0.096,0.690666667,0.709333333,0.702666667,0.734333333,0.095666667,0.013796135,0.017925773,0.004041452,0.049359227,0.00057735
42,0.693,0.715,0.71,0.757,0.7,0.705,0.714,0.71,0.725,0.682,0.754,0.773,0.096,0.095,0.096,0.706,0.720666667,0.716333333,0.736333333,0.095666667,0.011532563,0.031564748,0.007767453,0.048003472,0.00057735
43,0.721,0.725,0.707,0.736,0.714,0.688,0.725,0.733,0.745,0.688,0.771,0.79,0.096,0.095,0.096,0.717666667,0.712666667,0.734333333,0.749666667,0.095666667,0.009451631,0.024027762,0.010066446,0.054243279,0.00057735
44,0.729,0.737,0.718,0.711,0.703,0.708,0.736,0.733,0.763,0.705,0.783,0.799,0.096,0.096,0.096,0.728,0.707333333,0.744,0.762333333,0.096,0.009539392,0.004041452,0.016522712,0.050292478,1.69967E-17
45,0.751,0.757,0.722,0.744,0.712,0.752,0.731,0.749,0.753,0.703,0.793,0.803,0.096,0.096,0.096,0.743333333,0.736,0.744333333,0.766333333,0.096,0.018717194,0.02116601,0.011718931,0.055075705,1.69967E-17
46,0.734,0.747,0.733,0.745,0.717,0.739,0.735,0.766,0.757,0.703,0.798,0.807,0.096,0.096,0.096,0.738,0.733666667,0.752666667,0.769333333,0.096,0.00781025,0.01474223,0.015947832,0.057622334,1.69967E-17
47,0.736,0.748,0.738,0.758,0.698,0.723,0.726,0.762,0.791,0.691,0.796,0.815,0.096,0.096,0.096,0.740666667,0.726333333,0.759666667,0.767333333,0.096,0.006429101,0.030138569,0.03256276,0.066785727,1.69967E-17
