,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avr,,,,,sd,,,,
,25 然,,,,,12.5 然,,,,,6.25 然,,,,,,,,,,PD,,,,,LB,,,,,25 然,12.5 然,6.25 然,PD,LB,25 然,12.5 然,6.25 然,PD,LB
Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G6,0.1035,0.103,0.103,0.103333333,0.099,0.00057735,0.001,0.001154701,0.00057735,0.001414214
29,0.311,0.336,0.344,0.339,0.336,0.399,0.379,0.373,0.375,0.366,0.443,0.402,0.507,0.53,0.522,0.515,0.532,0.514,0.52,0.532,0.759,0.768,0.757,0.756,0.771,0.097,0.098,0.1,0.1,0.1,0.3585,0.397,0.553428571,0.756666667,0.0992,0.003696846,0.006082763,0.008283661,0.009291573,0.00130384
30,0.326,0.356,0.36,0.363,0.355,0.425,0.401,0.4,0.401,0.39,0.475,0.429,0.535,0.56,0.552,0.544,0.564,0.544,0.549,0.561,0.754,0.773,0.767,0.749,0.766,0.097,0.099,0.1,0.1,0.1,0.37875,0.422666667,0.583714286,0.762,0.099,0.00386221,0.004932883,0.006676184,0.008185353,0.001414214
31,0.345,0.381,0.381,0.38,0.373,0.449,0.428,0.426,0.425,0.417,0.509,0.451,0.575,0.591,0.584,0.574,0.59,0.577,0.581,0.589,0.76,0.781,0.771,0.755,0.787,0.097,0.098,0.1,0.1,0.1,0.40075,0.45,0.620714286,0.768666667,0.099,0.004031129,0.002,0.005964179,0.008020806,0.001414214
32,0.365,0.401,0.403,0.404,0.395,0.466,0.453,0.45,0.452,0.448,0.548,0.478,0.593,0.628,0.622,0.613,0.625,0.613,0.619,0.625,0.768,0.779,0.777,0.761,0.795,0.097,0.098,0.1,0.1,0.1,0.425,0.480666667,0.652285714,0.752666667,0.099,0.003366502,0.004725816,0.006395683,0.0369098,0.001414214
33,0.397,0.426,0.427,0.427,0.42,0.489,0.476,0.479,0.486,0.477,0.584,0.505,0.619,0.658,0.656,0.647,0.662,0.645,0.65,0.648,0.759,0.772,0.786,0.713,0.798,0.097,0.098,0.1,0.1,0.1,0.45225,0.513333333,0.679428571,0.754333333,0.099,0.004573474,0.004932883,0.006604472,0.028589042,0.001414214
34,0.423,0.453,0.453,0.457,0.446,0.514,0.502,0.511,0.519,0.51,0.604,0.542,0.648,0.688,0.684,0.669,0.685,0.675,0.678,0.677,0.761,0.774,0.779,0.723,0.797,0.097,0.098,0.1,0.1,0.1,0.48,0.548666667,0.706857143,0.726,0.099,0.003162278,0.004163332,0.009494359,0.045210618,0.001414214
35,0.441,0.479,0.483,0.482,0.476,0.548,0.54,0.55,0.552,0.544,0.627,0.561,0.668,0.721,0.709,0.706,0.712,0.702,0.708,0.69,0.756,0.778,0.748,0.674,0.799,0.097,0.098,0.1,0.1,0.1,0.5025,0.589333333,0.731142857,0.740666667,0.0992,0.006454972,0.008962886,0.00908164,0.05340724,0.00130384
36,0.458,0.501,0.507,0.508,0.494,0.59,0.572,0.594,0.595,0.579,0.652,0.579,0.679,0.73,0.735,0.729,0.749,0.721,0.73,0.724,0.757,0.778,0.784,0.681,0.8,0.097,0.099,0.1,0.1,0.1,0.529,0.612333333,0.743857143,0.761333333,0.0992,0.003741657,0.003511885,0.009856108,0.008386497,0.00130384
37,0.483,0.525,0.528,0.534,0.529,0.608,0.61,0.612,0.616,0.609,0.671,0.597,0.693,0.738,0.756,0.74,0.755,0.74,0.749,0.729,0.757,0.773,0.756,0.771,0.812,0.097,0.099,0.1,0.1,0.1,0.55875,0.638,0.753857143,0.745666667,0.099,0.00880814,0.007937254,0.012019825,0.018147543,0.001414214
38,0.505,0.551,0.554,0.571,0.559,0.638,0.618,0.632,0.635,0.647,0.68,0.605,0.699,0.749,0.758,0.753,0.776,0.744,0.758,0.739,0.765,0.771,0.729,0.743,0.806,0.097,0.098,0.1,0.1,0.1,0.58775,0.663333333,0.776571429,0.750333333,0.099,0.011786291,0.022052967,0.017989415,0.009712535,0.001414214
39,0.518,0.574,0.582,0.599,0.596,0.67,0.644,0.639,0.682,0.669,0.699,0.611,0.703,0.774,0.794,0.786,0.79,0.786,0.762,0.744,0.761,0.767,0.748,0.742,0.809,0.097,0.098,0.1,0.1,0.1,0.6175,0.683333333,0.801857143,0.783333333,0.0992,0.01040833,0.008962886,0.025202041,0.069759109,0.00130384
40,0.549,0.606,0.612,0.629,0.623,0.695,0.671,0.688,0.689,0.673,0.714,0.619,0.713,0.781,0.811,0.806,0.8,0.84,0.814,0.761,0.759,0.764,0.862,0.729,0.811,0.097,0.099,0.1,0.1,0.1,0.6435,0.702,0.809571429,0.751,0.0992,0.008346656,0.020518285,0.031463509,0.046032597,0.00130384
41,0.557,0.637,0.636,0.653,0.648,0.712,0.69,0.701,0.723,0.682,0.727,0.613,0.719,0.78,0.828,0.809,0.816,0.856,0.818,0.76,0.753,0.76,0.796,0.704,0.804,0.097,0.099,0.1,0.1,0.1,0.67025,0.729,0.829,0.720666667,0.0992,0.012446552,0.029444864,0.031501323,0.027392213,0.00130384
42,0.564,0.656,0.664,0.683,0.678,0.73,0.702,0.746,0.746,0.695,0.723,0.615,0.722,0.801,0.84,0.826,0.857,0.873,0.825,0.781,0.745,0.743,0.726,0.691,0.831,0.097,0.099,0.1,0.1,0.1,0.69625,0.735666667,0.837,0.737,0.0992,0.015217862,0.004618802,0.036665151,0.043208795,0.00130384
43,0.577,0.677,0.699,0.695,0.714,0.746,0.719,0.741,0.733,0.733,0.722,0.599,0.727,0.796,0.858,0.831,0.867,0.885,0.837,0.785,0.746,0.733,0.775,0.69,0.872,0.097,0.099,0.1,0.1,0.1,0.713,0.75,0.848285714,0.726333333,0.0992,0.012247449,0.002645751,0.034456322,0.036501142,0.00130384
44,0.586,0.714,0.696,0.717,0.725,0.779,0.728,0.751,0.752,0.747,0.724,0.609,0.731,0.81,0.865,0.847,0.874,0.897,0.845,0.8,0.726,0.719,0.763,0.69,0.88,0.097,0.099,0.1,0.1,0.1,0.72725,0.748666667,0.859571429,0.716333333,0.0994,0.003304038,0.006429101,0.03474122,0.041404509,0.001516575
45,0.617,0.731,0.728,0.723,0.727,0.793,0.941,0.744,0.756,0.746,0.731,0.606,0.72,0.814,0.89,0.845,0.877,0.903,0.87,0.818,0.723,0.703,0.754,0.672,0.871,0.097,0.099,0.101,0.1,0.1,0.75125,0.748666667,0.873285714,0.712666667,0.0994,0.007274384,0.009291573,0.032335297,0.037018014,0.001516575
46,0.66,0.744,0.752,0.761,0.748,1.04,0.771,0.746,0.759,0.741,0.72,0.603,0.708,0.827,0.898,0.85,0.893,0.919,0.875,0.851,0.714,0.7,0.749,0.675,0.865,0.097,0.099,0.101,0.1,0.1,0.7635,0.767666667,0.883714286,0.705,0.0992,0.00450925,0.018147543,0.033295216,0.033511192,0.00130384
47,0.695,0.77,0.761,0.763,0.76,0.738,0.784,0.781,0.775,0.747,0.727,0.58,0.72,0.829,0.909,0.856,0.9,0.928,0.885,0.879,0.706,0.692,0.738,0.671,0.862,0.097,0.099,0.1,0.1,0.1,0.772,0.771333333,0.890571429,0.698,0.0994,0.004163332,0.008020806,0.032310252,0.03,0.001516575
48,0.701,0.771,0.773,0.767,0.777,0.824,0.756,0.772,0.779,0.763,0.723,0.568,0.698,0.835,0.922,0.864,0.914,0.921,0.89,0.888,0.698,0.681,0.728,0.668,0.857,0.097,0.099,0.101,0.1,0.1,0.775,0.763,0.894285714,0.686,0.0994,0.00509902,0.004582576,0.027974478,0.036660606,0.001516575
