    Shake,Linear: 5:00 (MM:SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 731 cpm (2 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1..B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Temperature:,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,0.152,0.162,0.168,0.174,0.173,0.176,0.167,0.166,0.167,0.171,0.159,0.135,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B,0.114,0.136,0.128,0.177,0.17,0.172,0.1,0.094,0.092,0.093,0.094,0.092,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H,,,,,,,0.161,0.132,0.151,0.163,0.124,,OD0:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,T¯ OD:600,6.25 ÊM (1),6.25 ÊM (2),6.25 ÊM (3),12.5 ÊM (1),12.5 ÊM (2),12.5 ÊM (3),25 ÊM (1),25 ÊM (2),25 ÊM (3),pd + LB (1),pd + LB (2),pd + LB (3),LB (1),LB (2),LB (3),Ethanol con (1),Ethanol con (2),Ethanol con (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0:05:02,30,0.141,0.137,0.135,0.137,0.134,0.136,0.138,0.138,0.14,0.136,0.134,0.133,0.093,0.106,0.124,0.172,0.165,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:05:02,30,0.139,0.136,0.133,0.135,0.132,0.134,0.136,0.137,0.139,0.139,0.136,0.134,0.093,0.102,0.094,0.134,0.133,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2:05:02,30.1,0.137,0.134,0.133,0.134,0.131,0.132,0.135,0.136,0.138,0.144,0.142,0.139,0.093,0.102,0.094,0.134,0.134,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3:05:02,30.1,0.136,0.133,0.131,0.133,0.13,0.131,0.134,0.135,0.137,0.154,0.152,0.149,0.093,0.102,0.094,0.135,0.136,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4:05:02,30.1,0.136,0.132,0.131,0.132,0.129,0.13,0.134,0.134,0.137,0.168,0.167,0.165,0.093,0.102,0.094,0.139,0.139,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5:05:02,30,0.136,0.132,0.131,0.132,0.128,0.129,0.133,0.134,0.136,0.191,0.19,0.19,0.093,0.102,0.094,0.145,0.144,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6:05:02,30.1,0.138,0.134,0.133,0.131,0.127,0.129,0.132,0.133,0.136,0.215,0.216,0.221,0.093,0.102,0.094,0.156,0.153,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7:05:02,30.1,0.143,0.137,0.136,0.13,0.127,0.129,0.132,0.133,0.135,0.242,0.244,0.252,0.093,0.102,0.094,0.181,0.172,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8:05:02,30.1,0.152,0.143,0.141,0.13,0.127,0.128,0.131,0.132,0.135,0.271,0.275,0.284,0.093,0.102,0.094,0.229,0.218,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9:05:02,30.1,0.167,0.155,0.152,0.129,0.126,0.127,0.131,0.132,0.135,0.296,0.298,0.305,0.093,0.102,0.093,0.247,0.244,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10:05:02,30.1,0.203,0.179,0.178,0.13,0.126,0.128,0.131,0.132,0.134,0.313,0.314,0.319,0.093,0.102,0.094,0.262,0.255,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11:05:02,30.1,0.235,0.207,0.204,0.13,0.126,0.127,0.131,0.132,0.134,0.326,0.326,0.333,0.093,0.102,0.094,0.279,0.274,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12:05:02,30.1,0.262,0.236,0.231,0.13,0.127,0.128,0.13,0.132,0.134,0.34,0.34,0.344,0.093,0.102,0.094,0.289,0.284,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13:05:02,30.1,0.291,0.263,0.256,0.131,0.127,0.128,0.13,0.132,0.134,0.352,0.351,0.354,0.093,0.102,0.094,0.298,0.293,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14:05:02,30.1,0.312,0.289,0.281,0.134,0.129,0.13,0.131,0.132,0.135,0.364,0.362,0.366,0.093,0.101,0.094,0.305,0.3,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15:05:02,30.1,0.329,0.307,0.299,0.139,0.132,0.134,0.131,0.133,0.136,0.38,0.377,0.384,0.093,0.102,0.094,0.312,0.306,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16:05:02,30.1,0.344,0.322,0.314,0.148,0.138,0.14,0.132,0.134,0.137,0.401,0.396,0.41,0.093,0.102,0.094,0.317,0.312,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17:05:02,30.1,0.359,0.334,0.326,0.16,0.147,0.149,0.135,0.136,0.141,0.431,0.424,0.443,0.093,0.101,0.094,0.324,0.319,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18:05:02,30.1,0.366,0.348,0.338,0.182,0.161,0.163,0.138,0.14,0.146,0.467,0.457,0.472,0.093,0.101,0.094,0.33,0.327,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19:05:02,30.1,0.377,0.355,0.35,0.22,0.187,0.192,0.143,0.146,0.154,0.5,0.491,0.502,0.093,0.102,0.094,0.34,0.336,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20:05:02,30.1,0.381,0.367,0.36,0.246,0.22,0.227,0.152,0.156,0.168,0.532,0.519,0.53,0.093,0.101,0.094,0.353,0.35,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21:05:02,30.1,0.389,0.375,0.372,0.271,0.247,0.252,0.166,0.172,0.191,0.564,0.538,0.553,0.093,0.101,0.094,0.371,0.369,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22:05:02,30.1,0.41,0.391,0.386,0.292,0.269,0.274,0.19,0.205,0.225,0.592,0.557,0.579,0.093,0.101,0.094,0.394,0.392,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23:05:02,30.1,0.431,0.408,0.405,0.307,0.288,0.293,0.225,0.232,0.25,0.62,0.584,0.601,0.093,0.101,0.094,0.416,0.414,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24:05:02,30.1,0.44,0.431,0.431,0.321,0.302,0.308,0.249,0.255,0.281,0.646,0.618,0.621,0.093,0.101,0.094,0.441,0.438,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25:05:02,30.1,0.459,0.446,0.458,0.331,0.314,0.32,0.27,0.275,0.289,0.674,0.635,0.645,0.093,0.101,0.094,0.463,0.459,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26:05:02,30.1,0.479,0.464,0.487,0.342,0.325,0.331,0.291,0.293,0.305,0.694,0.651,0.666,0.093,0.101,0.094,0.486,0.481,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27:05:02,30.1,0.496,0.483,0.504,0.351,0.336,0.341,0.306,0.305,0.32,0.714,0.668,0.695,0.093,0.101,0.094,0.502,0.503,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28:05:02,30.1,0.545,0.508,0.529,0.358,0.342,0.347,0.319,0.32,0.336,0.731,0.686,0.714,0.093,0.101,0.094,0.524,0.524,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29:05:02,30.1,0.585,0.526,0.553,0.366,0.348,0.356,0.333,0.337,0.352,0.747,0.706,0.739,0.093,0.101,0.094,0.542,0.542,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30:05:02,30.1,0.624,0.562,0.581,0.377,0.358,0.364,0.347,0.346,0.367,0.754,0.725,0.754,0.093,0.101,0.094,0.554,0.563,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31:05:02,30.1,0.667,0.595,0.596,0.396,0.373,0.378,0.359,0.365,0.38,0.77,0.743,0.774,0.093,0.101,0.094,0.568,0.578,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32:05:02,30.1,0.705,0.627,0.622,0.415,0.391,0.395,0.37,0.361,0.394,0.779,0.76,0.793,0.093,0.101,0.094,0.59,0.592,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33:05:02,30.1,0.713,0.662,0.646,0.432,0.41,0.417,0.379,0.375,0.412,0.79,0.777,0.805,0.093,0.101,0.094,0.597,0.604,0.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34:05:02,30.1,0.745,0.692,0.666,0.446,0.432,0.433,0.393,0.39,0.434,0.801,0.787,0.818,0.093,0.101,0.094,0.614,0.622,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35:05:02,30.1,0.79,0.721,0.683,0.459,0.44,0.448,0.408,0.42,0.458,0.811,0.802,0.828,0.093,0.101,0.094,0.633,0.634,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36:05:02,30.1,0.821,0.744,0.703,0.474,0.455,0.461,0.431,0.446,0.483,0.825,0.814,0.84,0.093,0.101,0.094,0.647,0.649,0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37:05:02,30.1,0.822,0.769,0.72,0.49,0.469,0.478,0.453,0.468,0.492,0.846,0.825,0.85,0.093,0.101,0.094,0.66,0.657,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38:05:02,30.1,0.847,0.775,0.738,0.503,0.484,0.49,0.475,0.486,0.517,0.861,0.833,0.859,0.094,0.101,0.094,0.683,0.682,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39:05:02,30.1,0.856,0.783,0.762,0.532,0.503,0.51,0.485,0.486,0.526,0.874,0.854,0.87,0.094,0.101,0.094,0.697,0.684,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40:05:02,30.1,0.869,0.793,0.779,0.545,0.535,0.532,0.505,0.496,0.551,0.909,0.867,0.875,0.093,0.101,0.094,0.722,0.695,0.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41:05:02,30.1,0.867,0.807,0.799,0.565,0.552,0.551,0.504,0.585,0.557,0.981,0.886,0.845,0.094,0.101,0.094,0.732,0.71,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42:05:02,30.1,0.876,0.821,0.821,0.587,0.563,0.587,0.529,0.542,0.591,1.072,0.903,0.876,0.094,0.101,0.094,0.739,0.721,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43:05:02,30.1,0.89,0.842,0.835,0.627,0.585,0.598,0.542,0.544,0.59,1.131,0.926,0.895,0.094,0.101,0.094,0.751,0.734,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44:05:02,30.1,0.904,0.854,0.853,0.618,0.605,0.609,0.562,0.551,0.618,1.162,0.958,0.915,0.094,0.101,0.094,0.762,0.784,0.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45:05:02,30.1,0.911,0.875,0.859,0.642,0.63,0.647,0.583,0.662,0.643,1.183,1.027,0.934,0.093,0.101,0.094,0.772,0.798,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46:05:02,30.1,0.921,0.883,0.94,0.662,0.643,0.649,0.599,0.673,0.634,1.149,1.09,0.908,0.094,0.101,0.094,0.784,0.809,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47:05:02,30.1,0.932,0.901,0.96,0.683,0.669,0.667,0.617,0.588,0.648,1.122,1.158,0.933,0.094,0.101,0.094,0.798,0.815,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48:05:02,30.2,0.946,0.895,0.97,0.702,0.689,0.692,0.676,0.667,0.677,1.163,1.098,0.942,0.094,0.101,0.094,0.813,0.824,0.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49:05:02,30.2,0.971,0.902,0.965,0.719,0.705,0.713,0.63,0.641,0.677,1.207,0.938,0.946,0.093,0.101,0.094,0.823,0.833,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50:05:02,30.2,1.005,0.905,0.963,0.733,0.722,0.725,0.679,0.646,0.706,1.226,0.943,0.961,0.094,0.101,0.094,0.836,0.844,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51:05:02,30.2,0.823,0.921,0.971,0.75,0.736,0.736,0.67,0.687,0.699,1.22,0.98,0.979,0.094,0.101,0.094,0.847,0.854,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52:05:02,30.1,0.879,0.917,0.981,0.769,0.756,0.762,0.686,0.829,0.714,1.161,0.968,0.979,0.094,0.101,0.094,0.861,0.863,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53:05:02,30.1,0.876,0.924,0.991,0.792,0.777,0.796,0.765,0.684,0.716,1.172,0.971,0.966,0.094,0.101,0.094,0.87,0.87,0.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
